aktifitas,tanggal,kategori,catatan,isPengeluaran,jumlah
Belanja kebutuhan rumah,2024-06-04,"['Belanja', 'Makan']","Mie, 6 x 3k
Sabun isi 3, 1 x 21k
Kopi 2paket, 1 x 16k
Keripik Basreng, 2 x 12k
Bumbu nasgor, 5 x 2k
Sapo, 1 x 5k
Pewangi pakaian, 1 x 2.5k
Parfum, 1 x 16k
MAsker, 1 x 6k",True,118000
Nyebrang,2024-06-04,['Belanja'],,True,4000
Jajan,2024-06-04,['Makan'],,True,3000
Bensin,2024-06-04,['Kuliah'],,True,20000
Tempe,2024-06-04,['Makan'],,True,10000
Telur,2024-06-04,['Makan'],,True,53000
Jajan,2024-06-05,['Jajan'],,True,4000
Beli air gelas,2024-06-07,['Makan'],,True,2000
Nasi Kuning,2024-06-07,['Makan'],,True,12000
Beras,2024-06-07,['Hadiah'],,True,73000
Tali skipping,2024-06-06,['Kuliah'],,True,33000
Jajan,2024-06-07,['Jajan'],,True,3000
Bensin,2024-06-09,['Belanja'],,True,20000
Baterai 3.7v,2024-06-09,['Kuliah'],,True,18000
Jajan,2024-06-11,['Jajan'],,True,6000
"Mie, biskuit, dan Tisu",2024-06-11,['Makan'],,True,34000
Tempe,2024-06-11,['Makan'],,True,10000
Keperluan rumah & Pesanan Bapak,2024-06-14,"['Belanja', 'Jajan', 'Makan']","Mie, Makanan ringan, kopi, indomilk,  fitting lampu, dan pengikat kran.",True,120000
Bensin,2024-06-14,"['Belanja', 'Kuliah']",,True,20000
Nasi Kuning,2024-06-14,['Makan'],,True,12000
Jajan,2024-06-14,['Jajan'],,True,3000
Nyebrang,2024-06-14,['Belanja'],,True,2000
Berak,2024-06-16,['Belanja'],Pas balik ke selayar,True,5000
Pop mie dan buras,2024-06-16,['Makan'],Pas balik ke selayar,True,15000
Bensin,2024-06-18,['Belanja'],,True,20000
Dikasi pembeli bensin sama Ortu Feni,2024-06-18,['Hadiah'],Ini pas antar kirimannya Feni ke rumahnya di Tile-tile,False,30000
Bensi,2024-06-18,['Belanja'],,True,20000
Sirup dan minuman,2024-06-18,['Belanja'],,True,25000
Kacang Almon,2024-06-18,['Makan'],,True,12000
Dikasi uang sama Mama,2024-06-19,['Hadiah'],,False,500000
Makan,2024-06-19,['Makan'],,True,30000
Ongkos travel,2024-06-19,['Belanja'],,True,150000
Jajan,2024-06-20,['Jajan'],,True,5000
Ganti balon motor,2024-06-20,['Belanja'],,True,25000
Pop ice,2024-06-20,['Makan'],,True,5000
Bayang uang Sekret,2024-06-20,['Makan'],,True,50000
Ayam Krispi,2024-06-20,['Makan'],,True,12000
Bensin,2024-06-21,['Belanja'],,True,20000
Nyebrang,2024-06-21,['Belanja'],,True,2000
Pembeli Rokok Tukag Service Motor,2024-06-21,['Belanja'],Pembeli rokok untuk yang kerja motor. Dia minta,True,15000
Beli galon,2024-06-21,['Belanja'],,True,5000
Bensin,2024-06-25,['Kuliah'],,True,20000
Makan Malam,2024-06-25,['Makan'],,True,14000
Jajan,2024-06-26,['Jajan'],,True,4000
Mie dan Minyak,2024-06-26,['Makan'],,True,38000
Kertas HVS A4 Satu Ring,2024-06-26,['Kuliah'],,True,58000
Mie,2024-06-29,['Makan'],,True,8000
Nasi Kuning,2024-07-01,['Makan'],,True,10000
Bensin,2024-07-01,['Kuliah'],,True,20000
Jajan,2024-07-01,['Jajan'],Jajan di kampus dan alfamart,True,28000
Nyebrang,2024-07-01,['Belanja'],,True,2000
Paket Buku,2024-07-01,['Belanja'],,True,70000
Totebag,2024-07-02,['Belanja'],,True,4000
Jajan,2024-07-02,['Jajan'],,True,2000
Nasi Kuning,2024-07-02,['Makan'],,True,12000
Jajan,2024-07-02,['Jajan'],,True,3000
Milo panas,2024-07-02,['Makan'],,True,10000
Jajan,2024-07-03,['Jajan'],,True,4000
Galon,2024-07-03,['Belanja'],,True,5000
Jajan,2024-07-04,['Jajan'],,True,5000
Bensi ,2024-07-04,['Kuliah'],,True,20000
Masker,2024-07-04,['Belanja'],,True,12000
Iuran perumahan,2024-07-06,['Iuran'],,True,50000
Nasi Kuning,2024-07-08,['Makan'],,True,12000
Gorengan Tahu Pedas,2024-07-07,"['Jajan', 'Makan']",,True,10000
Jilid Laporan,2024-07-08,['Kuliah'],,True,8000
Jajan,2024-07-09,['Jajan'],,True,2000
Bensin,2024-07-09,['Kuliah'],,True,20000
Mie dan kopi,2024-07-09,['Makan'],,True,30000
Nasi Kuning,2024-07-10,['Makan'],,True,12000
Gorengan,2024-07-10,"['Jajan', 'Makan']",,True,8000
Jajan,2024-07-11,['Jajan'],,True,13000
Mie dan kopi,2024-07-12,['Makan'],,True,30000
Tarik uang,2024-07-14,['Gajian'],,False,400000
Beli gorengan,2024-07-14,"['Jajan', 'Makan']",,True,15000
"Mie, biskuit dan kopi",2024-07-14,['Makan'],,True,31000
Jajan,2024-07-15,['Jajan'],,True,4000
