aktifitas,tanggal,kategori,catatan,isPengeluaran,jumlah
Bensin,2023-11-29,['Kuliah'],,True,20000
Hadiah Lomba,2023-11-30,"['Hadiah', 'Kuliah']",Hadiah lomba UI/UX Aifest,False,100000
Obat,2023-12-02,['Belanja'],,True,16000
Bensin,2023-12-02,['Belanja'],,True,20000
Big Saving,2023-12-02,"['Belanja', 'Tabungan']",Tabung hadiah lomba UI/UX Aifest ,True,100000
Gorengan,2023-12-03,"['Belanja', 'Makan']",,True,10000
Jajan,2023-12-03,"['Jajan', 'Kuliah']",,True,3000
Gorengan,2023-12-04,"['Belanja', 'Makan']",,True,10000
Jajan,2023-12-04,"['Jajan', 'Kuliah']",,True,5000
Makan Siang,2023-12-05,"['Kuliah', 'Makan']",,True,10000
Jajan,2023-12-05,"['Jajan', 'Kuliah']",,True,10000
Jajan,2023-12-06,"['Jajan', 'Kuliah']",,True,4000
Makan Siang,2023-12-06,"['Kuliah', 'Makan']",,True,11000
Iuran Perumahan,2023-12-06,['Iuran'],,True,50000
Bensin,2023-12-07,['Kuliah'],,True,10000
Jajan,2023-12-07,"['Jajan', 'Kuliah']",,True,5000
Jajan,2023-12-08,"['Jajan', 'Kuliah']",,True,7000
Makan Siang,2023-12-08,"['Kuliah', 'Makan']",,True,10000
Bensin,2023-12-09,['Belanja'],,True,20000
Masker,2023-12-09,['Belanja'],,True,6000
Selotip,2023-12-09,['Belanja'],,True,14000
Bensin,2023-12-11,"['Belanja', 'Kuliah']",,True,10000
Jilid laporan,2023-12-11,['Kuliah'],,True,14000
Jajan,2023-12-11,"['Jajan', 'Kuliah']",,True,14000
Makan siang,2023-12-11,"['Kuliah', 'Makan']",,True,10000
Bensin,2023-12-12,"['Belanja', 'Kuliah']",,True,20000
Makan siang,2023-12-12,"['Kuliah', 'Makan']",,True,11000
Gorengan,2023-12-12,['Jajan'],,True,10000
Tarik uang,2023-12-13,['Belanja'],,False,1000000
Beli galdan,2023-12-12,['Kuliah'],,True,10000
Uang di dapat di jalan,2023-12-13,['Belanja'],"Uang di dapat di jalan sudah dari bulan 9 kayanya. Di dapat 55.000, tapi ku ambil cuma 5.000",False,5000
Jajan,2023-12-14,"['Jajan', 'Kuliah']",,True,5000
Jilid laporan lengkap,2023-12-14,['Kuliah'],,True,10000
Perbaiki motor,2023-12-14,"['Belanja', 'Kuliah']",,True,50000
Beli sari lauk,2023-12-14,['Makan'],,True,18000
Kompa ban,2023-12-15,"['Belanja', 'Kuliah']",,True,2000
Bensin,2023-12-15,['Kuliah'],,True,20000
Makan pagi,2023-12-15,"['Kuliah', 'Makan']",,True,10000
Jajan,2023-12-15,"['Kuliah', 'Makan']",,True,10000
Ckck beli jagung,2023-12-15,['Makan'],,True,10000
Nasi Kuning,2023-12-16,['Makan'],,True,10000
Beli cemilan,2023-12-17,"['Jajan', 'Makan']",,True,32000
Bei tempe,2023-12-17,['Makan'],,True,10000
Jajan,2023-12-18,"['Jajan', 'Kuliah']",,True,2000
Bensin,2023-12-19,['Kuliah'],,True,20000
Beli telur,2023-12-19,['Makan'],,True,43000
Bayar iuran,2023-12-20,['Iuran'],Bayar iuran INR untuk 3 bulan,True,45000
Jajan,2023-12-21,"['Jajan', 'Kuliah']",,True,20000
Makan pagi,2023-12-22,"['Kuliah', 'Makan']",,True,10000
Jajan,2023-12-22,"['Jajan', 'Kuliah']",,True,8000
Galon,2023-12-22,"['Belanja', 'Makan']",,True,5000
Biskuit,2023-12-22,['Jajan'],,True,4000
Pop Ice,2023-12-22,"['Jajan', 'Kuliah']",,True,5000
Gorengan,2023-12-23,"['Jajan', 'Makan']",,True,10000
Bensin,2023-12-28,['Kuliah'],,True,20000
Jajan,2023-12-28,['Jajan'],,True,7000
Biskui Mie,2023-12-28,"['Jajan', 'Makan']",,True,35000
Jajan,2023-12-29,['Jajan'],,True,3000
Sumbangan Panti,2023-12-31,['Belanja'],,True,5000
Batok Cas,2024-01-01,['Belanja'],,True,25000
Sari Lauk,2024-01-01,['Makan'],,True,20000
Makan Siang,2024-01-02,"['Kuliah', 'Makan']",,True,13000
Jajan,2024-01-02,"['Jajan', 'Kuliah']",,True,5000
Jajan Pagi,2024-01-04,"['Jajan', 'Kuliah', 'Makan']",Penjanggal Perut,True,10000
Makan siang,2024-01-03,['Kuliah'],,True,10000
Bensin,2024-01-03,['Kuliah'],,True,20000
Jajan,2024-01-03,"['Jajan', 'Kuliah']",,True,50000
Galon,2024-01-03,['Belanja'],,True,5000
Jajan,2024-01-03,['Jajan'],,True,5000
Jajan,2024-01-04,"['Jajan', 'Kuliah']",,True,50000
"Mie, biskuit dan makanan ringan",2024-01-05,"['Jajan', 'Makan']",,True,45000
Parkir Mall,2024-01-06,['Belanja'],,True,4000
Tarif Jolo’ joloro,2024-01-06,['Belanja'],,True,4000
Iuran Perumahan,2024-01-07,['Iuran'],,True,50000
Mie dan Biskuit,2024-01-07,"['Jajan', 'Makan']",,True,32000
Gorengan,2024-01-07,"['Jajan', 'Makan']",,True,10000
Makan siang,2024-01-09,"['Kuliah', 'Makan']",,True,10000
Big saving,2024-01-10,['Tabungan'],,True,100000
Bensin,2024-01-10,['Kuliah'],,True,20000
Makan siang,2024-01-10,"['Kuliah', 'Makan']",,True,10000
Jajan,2024-01-10,"['Jajan', 'Kuliah']",,True,5000
"Minyak, mie, dan Biskuit",2024-01-10,"['Belanja', 'Jajan', 'Makan']",,True,36000
Tarik uang,2024-01-10,['Belanja'],,False,500000
Tempe,2024-01-10,"['Belanja', 'Makan']",,True,10000
Jajan,2024-01-11,"['Jajan', 'Kuliah']",,True,5000
Galon dan sosis,2024-01-12,"['Belanja', 'Makan']",,True,10000
Bayar Paket COD,2024-01-13,['Kuliah'],Pesanan komponen elektronik,True,184000
"Mie, makanan ringan, masako & kecap",2024-01-13,"['Jajan', 'Makan']",,True,60000
Gorengan,2024-01-15,['Jajan'],,True,10000
Bensin,2024-01-16,"['Belanja', 'Kuliah']",,True,20000
Penjanggal Perut,2024-01-16,"['Kuliah', 'Makan']",,True,11000
Makan Siang,2024-01-16,"['Kuliah', 'Makan']",,True,12000
Mie dan sosis,2024-01-16,['Makan'],,True,14000
"Mie, Biskuit, Bumbu nasgor",2024-01-18,['Makan'],,True,66000
Tarik uang,2024-01-19,['Belanja'],,False,400000
Minuman & telur,2024-01-19,['Makan'],,True,10000
Ongkos travel ke selayar,2024-01-20,['Belanja'],,True,150000
Dikasi uang bensin sama mamak,2024-01-29,['Belanja'],,False,70000
Bensin,2024-01-29,['Belanja'],,True,40000
"Jajan kerupuk, minuman, dan catguri",2024-01-29,['Belanja'],,True,72000
Uang saku,2024-02-01,['Belanja'],Untuk berangkat ke makassar,False,500000
Makan ayam,2024-02-01,['Belanja'],Dalam perjalanan ke makassar,True,37000
Travel,2024-02-01,['Belanja'],,True,150000
Kompa ban,2024-02-02,['Kuliah'],,True,2000
Beli mie,2024-02-03,"['Belanja', 'Makan']",,True,32000
Beli telur,2024-02-03,['Makan'],,True,50000
Beli oli,2024-02-04,['Belanja'],,True,50000
